Generation # 0, score of 204
Generation # 1, score of 221
Generation # 2, score of 217
Generation # 3, score of 404
Generation # 4, score of 416
Generation # 5, score of 233
Generation # 6, score of 245
Generation # 7, score of 234
Generation # 8, score of 234
Generation # 9, score of 233
Generation # 10, score of 416
Generation # 11, score of 404
Generation # 12, score of 415
Generation # 13, score of 601
Generation # 14, score of 601
Generation # 15, score of 601
Generation # 16, score of 603
Generation # 17, score of 614
Generation # 18, score of 634
Generation # 19, score of 1210
Generation # 20, score of 622
Generation # 21, score of 624
Generation # 22, score of 1001
Generation # 23, score of 2010
Generation # 24, score of 1214
Generation # 25, score of 2201
Generation # 26, score of 1220
Generation # 27, score of 2015
Generation # 28, score of 1219
Generation # 29, score of 1802
Generation # 30, score of 1802
Generation # 31, score of 1802
Generation # 32, score of 2001
Generation # 33, score of 2001
Generation # 34, score of 2001
Generation # 35, score of 1601
Generation # 36, score of 2002
Generation # 37, score of 2001
Generation # 38, score of 2001
Generation # 39, score of 2201
Generation # 40, score of 2201
Generation # 41, score of 2201
Generation # 42, score of 2201
Generation # 43, score of 2201
Generation # 44, score of 2201
Generation # 45, score of 2201
Generation # 46, score of 2201
Generation # 47, score of 2201
Generation # 48, score of 2201
Generation # 49, score of 2201
Generation # 50, score of 2201
Generation # 51, score of 2201
Generation # 52, score of 2201
Generation # 53, score of 2201
Generation # 54, score of 2202
Generation # 55, score of 2202
Generation # 56, score of 2202
Generation # 57, score of 2019
Generation # 58, score of 2209
Generation # 59, score of 2019
Generation # 60, score of 610
Generation # 61, score of 2019
Generation # 62, score of 610
Generation # 63, score of 1849
Generation # 64, score of 1849
Generation # 65, score of 2019
Generation # 66, score of 2015
Generation # 67, score of 2202
Generation # 68, score of 2202
Generation # 69, score of 2202
Generation # 70, score of 2202
Generation # 71, score of 2013
Generation # 72, score of 2202
Generation # 73, score of 2019
Generation # 74, score of 1210
Generation # 75, score of 1210
Generation # 76, score of 2019
Generation # 77, score of 2019
Generation # 78, score of 2019
Generation # 79, score of 2019
Generation # 80, score of 1210
Generation # 81, score of 1210
Generation # 82, score of 1210
Generation # 83, score of 2019
Generation # 84, score of 2206
Generation # 85, score of 2405
Generation # 86, score of 2206
Generation # 87, score of 2215
Generation # 88, score of 2206
Generation # 89, score of 2019
Generation # 90, score of 2027
Generation # 91, score of 2206
Generation # 92, score of 2206
Generation # 93, score of 2206
Generation # 94, score of 2206
Generation # 95, score of 2206
Generation # 96, score of 2206
Generation # 97, score of 2206
Generation # 98, score of 2206
Generation # 99, score of 2206
Generation # 100, score of 2206
Generation # 101, score of 2206
Generation # 102, score of 2206
Generation # 103, score of 2206
Generation # 104, score of 2206
Generation # 105, score of 2206
Generation # 106, score of 2206
Generation # 107, score of 2206
Generation # 108, score of 2206
Generation # 109, score of 2206
Generation # 110, score of 2206
Generation # 111, score of 2206
Generation # 112, score of 2206
Generation # 113, score of 2206
Generation # 114, score of 2206
Generation # 115, score of 2206
Generation # 116, score of 2206
Generation # 117, score of 2206
Generation # 118, score of 2206
Generation # 119, score of 2206
Generation # 120, score of 2206
Generation # 121, score of 2206
Generation # 122, score of 2206
Generation # 123, score of 2206
Generation # 124, score of 2206
Generation # 125, score of 2206
Generation # 126, score of 2206
Generation # 127, score of 2206
Generation # 128, score of 2206
Generation # 129, score of 2206
Generation # 130, score of 2206
Generation # 131, score of 2206
Gener
